OTU.ID,Or.Ma.D.s,Or.Ma.R.s,Or.Ma.D.le,Or.Ma.R.le,Or.Ma.D.e,Or.Ma.R.e,Or.Ma.D.re,Or.Ma.R.re,Or.Ma.D.rz,Or.Ma.R.rz,Or.Ma.D.rzs,Or.Ma.R.rzs,Or.Sf.D.s,Or.Sf.R.s,Or.Sf.D.le,Or.Sf.R.le,Or.Sf.D.e,Or.Sf.R.e,Or.Sf.D.re,Or.Sf.R.re,Or.Sf.D.rz,Or.Sf.R.rz,Or.Sf.D.rzs,Or.Sf.R.rzs,Mg.Ma.D.s,Mg.Ma.R.s,Mg.Ma.D.le,Mg.Ma.R.le,Mg.Ma.D.e,Mg.Ma.R.e,Mg.Ma.R.re,Mg.Ma.D.rz,Mg.Ma.R.rz,Mg.Ma.D.rzs,Mg.Ma.R.rzs,Mg.Sf.D.s,Mg.Sf.R.s,Mg.Sf.D.le,Mg.Sf.R.le,Mg.Sf.D.e,Mg.Sf.R.e,Mg.Sf.D.re,Mg.Sf.R.re,Mg.Sf.D.rz,Mg.Sf.R.rz,Mg.Sf.D.rzs,Mg.Sf.R.rzs,Consensus.lineage
OTU_875,9,0,0,0,2,0,0,0,0,0,5,2,3,6,0,0,2,4,0,0,0,0,0,2,1,3,0,0,0,3,0,1,1,3,2,0,5,0,0,2,3,0,0,0,3,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales
OTU_876,0,14,0,0,0,0,0,15,1,0,16,1,27,0,0,0,1,1,0,0,162,5,15,2,1,10,0,0,0,0,0,1,0,0,8,27,13,0,0,0,0,0,0,0,13,31,1,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL
OTU_877,3,5,0,0,2,0,0,0,0,0,7,2,39,26,0,0,2,0,3,0,49,1,31,4,28,128,0,0,0,0,0,1,0,3,17,36,78,0,0,0,2,0,0,0,23,180,0,k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__ChloracidobacteriaCL;f__ChloracidobacteriaCL;g__ChloracidobacteriaCL
OTU_878,3,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,4,0,0,4,0,0,0,2,0,0,0,0,1,0,1,0,2,3,1,0,0,0,1,8,0,0,1,1,0,0,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__HN1_15;f__HN1_15OR;g__HN1_15OR
OTU_879,0,0,0,0,51,35,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,1,0,0,0,0,0,1,26,0,0,0,0,1,0,0,0,0,3,9,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium
OTU_880,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Solibacter
OTU_881,2,77,0,0,0,0,0,17,0,3,36,44,0,3,0,2,0,1,0,0,19,3,2,175,72,3,0,0,0,0,1,7,25,32,70,108,3,0,0,0,1,0,0,0,75,25,25,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_882,1,9,0,0,2,1,0,0,0,4,19,32,94,10,0,0,4,1,0,0,36,4,47,43,5,41,0,0,0,3,0,4,10,16,29,20,49,0,0,2,6,0,0,2,35,126,10,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Solibacter
OTU_885,14,1,0,1,1,0,3,0,1,2,0,3,0,1,0,0,2,4,2,0,1,0,4,6,7,1,0,0,2,2,0,10,0,23,13,3,2,0,1,1,1,0,0,0,6,1,6,k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__AcidobacterialesOR;g__AcidobacterialesOR
OTU_886,33,4,0,0,0,0,0,0,0,0,21,32,1,78,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,0,40,1,0,0,0,0,0,0,0,1,0,6,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__VerrucomicrobialesOR;g__VerrucomicrobialesOR
OTU_887,9,10,0,0,0,1,0,1,0,3,27,2,6,6,10,0,0,0,0,0,0,0,0,2,3,6,0,0,1,0,0,4,0,7,0,14,15,0,1,1,0,0,0,1,0,6,1,k__Bacteria;p__Acidobacteria;c__Acidobacteria_5;o__Acidobacteria_5CL;f__Acidobacteria_5CL;g__Acidobacteria_5CL
OTU_888,0,0,3,0,13,1,0,0,0,0,0,0,0,0,0,2,6,4,11,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter
OTU_889,0,14,0,0,0,0,0,12,0,27,3,34,20,0,8,0,0,1,0,0,89,8,47,150,28,33,0,0,0,3,0,2,23,0,84,21,0,0,0,0,3,0,0,0,152,3,97,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Sphingobacteriaceae;g__SphingobacteriaceaeFA
OTU_891,3,0,0,0,3,1,0,1,0,0,0,2,2,1,0,0,2,2,0,1,7,0,7,15,3,1,0,0,0,4,0,1,0,0,1,0,0,0,0,1,7,2,0,4,0,0,0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
OTU_892,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flexibacteraceae;g__Cytophaga
OTU_893,3,10,0,0,4,8,0,7,0,0,2,5,2,2,0,0,7,14,0,46,4,0,2,5,5,5,0,0,0,14,0,4,0,6,4,8,10,0,0,5,6,0,0,1,6,6,2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__MethylobacteriaceaeFA
OTU_894,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,k__Bacteria;p__SC4;c__SC4PH;o__SC4PH;f__SC4PH;g__SC4PH
OTU_895,20,7,0,0,1,2,0,3,0,3,11,23,0,5,0,0,0,0,0,0,1,1,0,8,2,1,1,0,0,0,0,1,0,12,0,2,8,0,0,0,0,0,0,0,0,4,15,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera
OTU_896,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA
OTU_897,2,4,0,0,3,10,4,1,2,3,14,2,2,0,0,0,2,7,0,0,49,6,4,78,5,2,0,0,3,10,14,6,7,5,11,13,10,0,0,11,4,8,12,0,35,9,4,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
OTU_898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_899,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flexibacteraceae;g__FlexibacteraceaeFA
OTU_901,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas
OTU_903,0,2,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Nocardia
OTU_904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Phaeospirillum
OTU_905,6,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,7,k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Spartobacteriales;f__Spartobacteriaceae;g__Chthoniobacter
OTU_906,0,0,0,0,0,1,0,0,10,37,0,0,0,0,0,0,0,0,3,3,0,126,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,1,0,0,7,0,0,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Trabulsiella
OTU_907,2,4,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,2,0,0,2,0,0,0,7,1,0,0,0,10,0,1,0,1,1,2,8,0,0,1,2,0,0,0,2,3,0,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_908,12,12,0,0,0,0,0,1,0,0,1,0,3,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__CoxiellaceaeFA
OTU_909,1,6,0,0,2,1,0,0,0,0,0,3,2,34,0,0,38,414,0,0,1,0,2,3,8,1,0,0,3,45,0,0,0,1,3,3,80,0,0,26,12,0,0,0,0,94,6,k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Phormidiaceae;g__Phormidium
OTU_910,1,1,0,0,8,1,0,0,0,2,0,0,0,0,0,0,4,4,0,0,0,2,0,1,0,0,0,0,1,6,0,0,0,1,1,0,1,0,0,5,1,0,0,0,4,1,1,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__GemmatimonadetesCL;f__GemmatimonadetesCL;g__GemmatimonadetesCL
OTU_911,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,1,1,0,0,5,0,0,0,3,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR
OTU_912,2,16,0,0,2,2,0,5,0,0,10,14,12,3,0,0,1,0,0,0,1,0,0,8,0,3,0,0,2,0,0,5,1,8,6,1,7,0,0,0,3,0,0,0,6,5,5,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__0319_7L14;f__0319_7L14OR;g__0319_7L14OR
OTU_913,8,0,0,0,0,0,0,0,2,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Solibacter
OTU_914,21,6,0,0,0,0,0,0,0,0,9,2,77,15,0,0,1,1,1,0,13,2,4,6,0,33,0,0,0,1,0,1,1,8,0,4,35,0,0,0,5,0,0,0,3,18,3,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter
OTU_915,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flammeovirgaceae;g__Sporocytophaga
