OTU.ID,Or.Ma.D.s,Or.Ma.R.s,Or.Ma.D.le,Or.Ma.R.le,Or.Ma.D.e,Or.Ma.R.e,Or.Ma.D.re,Or.Ma.R.re,Or.Ma.D.rz,Or.Ma.R.rz,Or.Ma.D.rzs,Or.Ma.R.rzs,Or.Sf.D.s,Or.Sf.R.s,Or.Sf.D.le,Or.Sf.R.le,Or.Sf.D.e,Or.Sf.R.e,Or.Sf.D.re,Or.Sf.R.re,Or.Sf.D.rz,Or.Sf.R.rz,Or.Sf.D.rzs,Or.Sf.R.rzs,Mg.Ma.D.s,Mg.Ma.R.s,Mg.Ma.D.le,Mg.Ma.R.le,Mg.Ma.D.e,Mg.Ma.R.e,Mg.Ma.R.re,Mg.Ma.D.rz,Mg.Ma.R.rz,Mg.Ma.D.rzs,Mg.Ma.R.rzs,Mg.Sf.D.s,Mg.Sf.R.s,Mg.Sf.D.le,Mg.Sf.R.le,Mg.Sf.D.e,Mg.Sf.R.e,Mg.Sf.D.re,Mg.Sf.R.re,Mg.Sf.D.rz,Mg.Sf.R.rz,Mg.Sf.D.rzs,Mg.Sf.R.rzs,Consensus.lineage
OTU_2134,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;g__Planifilum
OTU_2135,0,0,0,0,0,0,1,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA
OTU_2136,1,1,0,0,0,1,0,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__PirellulalesOR;g__PirellulalesOR
OTU_2137,1,1,0,0,3,1,0,0,0,0,0,2,0,0,0,0,5,8,0,0,0,0,1,1,4,1,0,0,0,6,0,0,0,2,2,2,0,0,0,9,10,0,0,0,5,0,2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA
OTU_2138,7,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,3,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__DeltaproteobacteriaCL;f__DeltaproteobacteriaCL;g__DeltaproteobacteriaCL
OTU_2139,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,3,2,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__GemmatimonadaceaeFA
OTU_2140,1,2,0,0,2,1,0,0,0,0,1,1,0,3,0,0,0,1,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,2,2,3,4,0,0,0,2,0,0,0,0,0,0,k__Bacteria;p__SC4;c__SC4PH;o__SC4PH;f__SC4PH;g__SC4PH
OTU_2141,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,0,0,9,0,9,6,3,4,0,0,0,0,0,0,0,5,6,11,4,0,0,0,0,0,0,0,8,5,10,k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Spartobacteriales;f__Spartobacteriaceae;g__Xiphinematobacter
OTU_2142,0,1,0,0,0,0,0,407,2,4,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,1,0,1,5,1,20,1,0,0,0,0,2,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ActinomycetalesOR;g__ActinomycetalesOR
OTU_2144,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae;g__StreptosporangiaceaeFA
OTU_2145,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,k__Bacteria;p__Cyanobacteria;c__4C0d_2;o__mle1_12;f__mle1_12OR;g__mle1_12OR
OTU_2147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__WS3;c__PRR_12;o__Sediment_1;f__PRR_10;g__PRR_10FA
OTU_2148,4,3,0,0,1,0,1,2,0,4,2,3,1,0,0,0,0,2,0,0,1,1,3,8,4,5,0,0,0,0,2,3,3,8,3,6,1,0,0,0,1,1,1,1,11,4,2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes
OTU_2149,0,4,0,0,5,1,0,0,1,0,0,1,8,1,0,0,14,10,1,0,12,0,4,4,0,5,0,0,1,17,0,0,4,3,3,2,7,0,0,12,7,0,0,0,25,12,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA
OTU_2150,3,3,0,0,4,1,0,0,0,0,1,3,10,3,0,0,3,2,0,0,1,0,6,5,4,3,0,0,0,0,0,1,0,3,7,1,6,0,0,1,4,0,0,0,3,11,1,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_2151,3,2,0,0,0,0,0,0,0,0,3,0,2,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,k__Bacteria
OTU_2152,18,1,0,0,2,0,0,0,0,0,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera
OTU_2153,5,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,10,7,3,0,0,0,0,0,0,0,1,0,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__BetaproteobacteriaCL;f__BetaproteobacteriaCL;g__BetaproteobacteriaCL
OTU_2154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
OTU_2155,7,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0,2,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__GemmatimonadaceaeFA
OTU_2156,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__AcidobacterialesOR;g__AcidobacterialesOR
OTU_2157,2,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__GemmatimonadetesCL;f__GemmatimonadetesCL;g__GemmatimonadetesCL
OTU_2158,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,k__Bacteria;p__SC4;c__SC4PH;o__SC4PH;f__SC4PH;g__SC4PH
OTU_2159,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Solibacter
OTU_2160,2,3,0,0,0,3,5,1,0,0,0,0,0,1,0,0,1,2,5,4,0,0,0,1,2,1,0,0,0,3,12,1,0,2,5,0,3,0,0,0,4,0,4,0,0,0,2,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax
OTU_2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL
OTU_2162,3,2,0,0,2,1,0,0,0,2,0,1,1,3,0,0,1,26,0,0,1,0,4,3,4,3,0,0,1,12,0,1,1,1,2,2,12,0,0,4,21,0,0,0,4,35,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__EnterobacterialesOR;g__EnterobacterialesOR
OTU_2163,2,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,2,3,20,2,2,0,0,1,0,0,3,1,4,11,3,0,0,0,0,1,0,0,0,10,0,8,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__GemmatimonadetesCL;f__GemmatimonadetesCL;g__GemmatimonadetesCL
OTU_2164,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae;g__Sporichthya
OTU_2165,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA
OTU_2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas
OTU_2168,1,0,0,0,0,2,0,1,0,0,184,12,0,0,0,0,0,0,0,35,0,2,0,14,0,3,0,0,1,2,4,7,0,0,12,0,0,0,0,0,0,3,23,0,4,0,1,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter
OTU_2169,5,9,0,0,6,3,0,0,2,1,1,4,3,4,0,0,0,18,1,0,1,1,6,1,3,4,0,0,1,4,0,1,2,2,6,5,2,0,0,6,3,0,0,0,9,8,4,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__KineosporiaceaeFA
OTU_2170,6,4,0,0,0,0,0,1,0,0,11,3,1,2,0,0,0,0,2,0,2,0,3,7,1,3,0,0,0,0,0,1,0,2,9,6,0,0,0,0,1,1,1,0,1,3,9,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes
OTU_2171,7,0,0,0,4,1,0,1,0,0,2,3,0,2,0,0,3,6,3,0,0,0,0,2,5,2,0,0,0,2,0,1,1,2,0,2,1,0,0,6,0,2,0,0,1,3,3,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__MicromonosporaceaeFA
OTU_2172,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__ActinobacteriaCL;f__ActinobacteriaCL;g__ActinobacteriaCL
OTU_2174,7,3,0,0,0,0,0,0,0,1,1,0,10,6,0,0,1,1,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,16,0,0,1,0,0,0,1,1,3,1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__MC47;f__MC47OR;g__MC47OR
OTU_2176,2,1,0,0,2,0,0,0,0,0,6,0,5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Solirubrobacterales;f__SolirubrobacteralesOR;g__SolirubrobacteralesOR
OTU_2177,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Chloroflexi;c__Bljii12;o__B07_WMSP1;f__AKYH910;g__AKYH910FA
OTU_2178,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XI._Incertae_Sedis;g__Peptoniphilus
OTU_2179,0,2,0,1,0,3,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,4,13,1,0,0,0,1,1,2,6,11,13,17,14,1,0,0,1,9,3,1,0,15,5,6,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__AcetobacteraceaeFA
OTU_2181,0,3,0,0,0,3,0,3,0,3,33,1,0,1,0,0,0,0,2,1,2,0,3,6,25,6,0,0,0,1,0,1,3,3,24,0,2,0,0,0,0,0,6,0,7,2,6,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Sphingobacteriaceae;g__SphingobacteriaceaeFA
OTU_2182,7,2,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,0,0,0,0,4,k__Bacteria;p__SC4;c__SC4PH;o__SC4PH;f__SC4PH;g__SC4PH
OTU_2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flexibacteraceae;g__Cytophaga
OTU_2184,15,1,0,0,0,0,0,0,0,2,7,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,7,0,0,0,0,0,0,0,0,2,0,6,k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__FlavobacteriaCL;f__FlavobacteriaCL;g__FlavobacteriaCL
OTU_2185,0,1,0,0,0,0,0,0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,3,0,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_2186,14,3,0,0,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,4,k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__PirellulalesOR;g__PirellulalesOR
OTU_2187,0,2,0,0,2,5,0,2,0,0,0,2,3,0,0,0,7,6,0,0,2,2,2,10,2,2,0,0,2,6,0,0,13,3,7,8,7,0,0,7,9,0,0,0,9,1,9,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__AcetobacteraceaeFA
OTU_2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__HN1_15;f__HN1_15OR;g__HN1_15OR
OTU_2190,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,0,0,1,0,k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__HolophagalesOR;g__HolophagalesOR
OTU_2191,0,17,0,0,0,0,0,1,0,0,2,2,1,1,0,0,1,0,0,0,2,0,1,2,7,1,0,0,0,0,0,0,0,3,3,1,2,0,0,0,0,0,0,0,1,2,1,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Solibacter
OTU_2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__HyphomicrobiaceaeFA
OTU_2194,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,4,1,0,0,0,0,0,0,3,0,1,0,2,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_2197,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,k__Bacteria;p__Armatimonadetes;c__S1a_1H;o__S1a_1HCL;f__S1a_1HCL;g__S1a_1HCL
OTU_2198,1,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,32,66,0,0,4,0,11,22,1,0,0,0,0,15,0,0,0,0,1,0,8,0,0,26,4,0,0,0,0,90,0,k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Phormidiaceae;g__Phormidium
OTU_2199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__ActinobacteriaCL;f__ActinobacteriaCL;g__ActinobacteriaCL
OTU_2200,3,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,2,2,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__XanthobacteraceaeFA
OTU_2201,1,11,0,0,1,0,0,0,2,0,7,0,6,0,0,1,0,0,0,0,2,0,2,2,3,1,0,0,1,0,0,3,0,1,3,4,5,0,0,0,2,0,0,0,0,6,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__ActinobacteriaCL;f__ActinobacteriaCL;g__ActinobacteriaCL
OTU_2202,9,4,0,0,0,0,0,2,0,2,8,0,2,13,0,0,1,0,0,0,0,0,0,2,9,4,0,0,0,0,0,0,0,2,4,2,4,0,0,0,0,0,0,0,2,2,0,k__Bacteria;p__Acidobacteria;c__iii1_8;o__DS_18;f__DS_18OR;g__DS_18OR
OTU_2203,1,0,0,0,1,5,0,0,0,16,0,64,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,3,4,0,0,0,1,0,48,0,0,0,0,0,0,k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae;g__NostocaceaeFA
OTU_2205,0,0,0,0,4,1,0,0,0,0,0,0,2,3,0,0,17,10,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,5,1,0,0,0,0,2,0,k__Bacteria
OTU_2206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flexibacteraceae;g__Cytophaga
OTU_2209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Trabulsiella
OTU_2210,1,0,0,0,1,0,0,0,0,0,0,1,66,11,0,0,9,7,5,0,16,0,23,10,0,10,0,0,0,5,0,1,0,1,0,8,17,0,0,2,2,0,0,0,6,31,0,k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__HolophagalesOR;g__HolophagalesOR
OTU_2211,0,3,0,0,1,0,0,0,1,2,2,0,1,2,0,0,0,3,0,0,2,1,0,1,0,1,0,0,1,0,0,11,0,0,1,0,0,0,0,0,2,0,0,1,6,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__AcidimicrobialesOR;g__AcidimicrobialesOR
OTU_2212,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,5,1,7,0,3,0,1,1,1,2,0,0,1,1,0,1,0,3,4,1,4,0,0,0,3,0,0,0,1,7,0,k__Bacteria;p__Chloroflexi;c__Bljii12;o__B07_WMSP1;f__AKYH910;g__AKYH910FA
OTU_2215,1,1,0,0,1,0,1,0,0,2,2,7,23,6,0,0,0,0,0,0,4,2,2,12,9,4,0,0,1,1,0,3,2,2,7,7,5,0,0,0,2,0,0,0,15,19,7,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Solibacter
OTU_2216,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__ChloracidobacteriaCL;f__ChloracidobacteriaCL;g__ChloracidobacteriaCL
OTU_2217,4,0,0,1,1,0,0,0,1,0,10,2,0,1,0,0,1,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,1,1,5,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__HaliangiaceaeFA
OTU_2218,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,k__Bacteria
OTU_2219,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR
OTU_2220,4,20,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__GemmatimonadetesCL;f__GemmatimonadetesCL;g__GemmatimonadetesCL
OTU_2221,0,0,0,0,0,0,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,4,2,2,1,0,0,1,0,0,0,0,0,0,26,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_2222,1,3,0,0,0,0,0,0,0,1,14,5,0,0,0,0,0,0,13,0,0,0,0,0,1,2,0,0,1,1,0,2,0,6,4,2,0,0,0,0,0,0,0,0,1,0,4,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__XanthomonadaceaeFA
OTU_2224,3,2,0,0,1,1,0,0,1,0,4,1,5,2,0,0,0,2,0,0,2,1,2,5,2,0,0,0,0,1,0,0,0,3,1,0,3,0,0,0,0,0,0,1,1,2,2,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Solirubrobacterales;f__Solirubrobacteraceae;g__SolirubrobacteraceaeFA
OTU_2225,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales;f__Gemmataceae;g__GemmataceaeFA
OTU_2226,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
OTU_2227,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__GemmatimonadetesCL;f__GemmatimonadetesCL;g__GemmatimonadetesCL
OTU_2228,1,2,0,0,1,0,0,0,0,0,0,5,110,1,0,0,25,4,0,0,13,0,14,2,1,4,0,0,0,7,0,1,0,0,2,0,16,0,0,3,3,0,0,0,25,9,2,k__Bacteria
OTU_2230,3,2,0,0,1,1,0,0,0,0,4,4,2,3,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,5,0,3,1,0,0,1,1,0,0,0,0,0,4,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA
OTU_2231,6,7,0,0,13,0,0,4,1,7,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,4,0,0,1,8,0,2,3,1,0,0,1,0,0,7,7,0,1,33,1,0,0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus
OTU_2232,2,1,0,0,2,0,0,0,0,0,7,1,13,4,0,0,2,4,0,0,6,9,0,18,1,10,0,0,0,2,0,1,3,2,8,2,11,0,0,1,2,0,0,0,3,34,1,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR
